SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-11-2021,Single Family Residential,1017 Timberline (Homesite 132) Ave,Bremerton,WA,98312,569950,4,2.5,West Bremerton,2501,5450,2021,64,228,50,Sold,,,http://www.redfin.com/WA/Bremerton/1017-Timberline-Ave-98312/home/174864695,NWMLS,1751374,N,Y,47.5535271,-122.6987189
PAST SALE,August-27-2021,Single Family Residential,1040 Baker Heights (Homesite 217) Loop,Bremerton,WA,98312,609950,4,2.5,West Bremerton,2501,5450,2021,48,244,50,Sold,,,http://www.redfin.com/WA/Bremerton/1040-Baker-Heights-Loop-98312/home/174942857,NWMLS,1758169,N,Y,47.5528456,-122.696693
PAST SALE,May-14-2021,Single Family Residential,1009 Timberline (Homesite 201) Ave,Bremerton,WA,98312,544950,4,2.5,West Bremerton,2501,5450,2021,153,218,50,Sold,,,http://www.redfin.com/WA/Bremerton/1009-Timberline-Ave-98312/home/174385575,NWMLS,1778203,N,Y,47.5538018,-122.6987294
PAST SALE,May-10-2021,Single Family Residential,935 Baker Heights (Homesite 184) Loop,Bremerton,WA,98312,539950,4,2.5,West Bremerton,2501,5450,2021,157,216,50,Sold,,,http://www.redfin.com/WA/Bremerton/935-Baker-Heights-Loop-98312/home/174338305,NWMLS,1725310,N,Y,47.5550213,-122.6976371
PAST SALE,April-19-2021,Single Family Residential,927 Baker Heights (Homesite 186) Loop,Bremerton,WA,98312,531000,4,2.5,West Bremerton,2501,5450,2020,178,212,50,Sold,,,http://www.redfin.com/WA/Bremerton/927-Baker-Heights-Loop-98312/home/174112547,NWMLS,1714572,N,Y,47.5552881,-122.6976354
PAST SALE,October-22-2020,Single Family Residential,1484 Baker Heights (Homesite 45) Loop,Bremerton,WA,98312,474950,4,2.5,West Bremerton,2501,5441,2020,357,190,55,Sold,,,http://www.redfin.com/WA/Bremerton/1484-Baker-Heights-Loop-98312/home/172008163,NWMLS,1613996,N,Y,47.5554697,-122.6998556
PAST SALE,November-9-2020,Single Family Residential,1476 Baker Heights (Homesite 43) Loop,Bremerton,WA,98312,478950,4,2.5,West Bremerton,2501,5312,2020,339,192,55,Sold,,,http://www.redfin.com/WA/Bremerton/1476-Baker-Heights-Loop-98312/home/172067422,NWMLS,1614439,N,Y,47.5551896,-122.6998554
PAST SALE,September-29-2021,Single Family Residential,732 S Summit Ave,Bremerton,WA,98312,615000,4,2,West Bremerton,2492,16988,1902,15,247,,Sold,,,http://www.redfin.com/WA/Bremerton/732-S-Summit-Ave-98312/home/2308076,NWMLS,1802446,N,Y,47.5554411,-122.6580746
PAST SALE,September-10-2021,Single Family Residential,5125 Granger St,Bremerton,WA,98312,475000,5,3,West Hills,2443,4328,2021,34,194,38,Sold,,,http://www.redfin.com/WA/Bremerton/5125-Granger-ST-98312/home/174757027,NWMLS,1745539,N,Y,47.547464,-122.682351
PAST SALE,May-28-2021,Single Family Residential,5192 Sinclair Way,Bremerton,WA,98312,456954,5,3,West Hills,2443,4169,2021,139,187,,Sold,,,http://www.redfin.com/WA/Bremerton/5192-Sinclair-Way-98312/home/173143467,NWMLS,1661823,N,Y,47.5514355,-122.6843257
